AppID;Name;Release date;Estimated owners;Required age;Price;DLC count;Supported languages;Website;Windows;Mac;Linux;Positive;Negative;Achievements;Average playtime forever;Median playtime forever;Developers;Publishers;Categories
718350;Loot Collection: Mahjong;05.10.2017;20000 - 50000;0;0.55;0;['English'];https://store.steampowered.com/publisher/boogygames;WAHR;FALSCH;FALSCH;2;3;0;0;0;Boogygames Studios;Boogygames Studios;Single-player
433450;INFERNO CLIMBER;08.09.2016;0 - 20000;0;14.99;0;['English', 'Japanese', 'Simplified Chinese', 'Korean'];http://www.arcsystemworks.jp/InfernoClimber/;WAHR;FALSCH;FALSCH;60;46;34;0;0;Arc System Works;Arc System Works;Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud
1709450;Grim Tales: The Heir Collector's Edition;30.07.2021;20000 - 50000;0;9.99;0;['English'];;WAHR;FALSCH;FALSCH;7;1;0;0;0;Elephant Games;Big Fish Games;Single-player
1431470;Mythos Ever After: A Cthulhu Dating Sim;28.10.2020;0 - 20000;0;4.99;0;['English'];;WAHR;FALSCH;WAHR;1;0;18;0;0;Stegalosaurus Game Development;Stegalosaurus Game Development;Single-player,Steam Achievements
1794920;Pool Adventure;07.11.2021;0 - 20000;0;0.99;0;['English'];;WAHR;FALSCH;FALSCH;0;0;0;0;0;Uintani;Uintani;Single-player
1959480;Eternal Edge+ Prologue;05.05.2022;0 - 0;0;0;0;['English', 'French', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Portuguese', 'Russian', 'Simplified Chinese', 'Turkish', 'Italian', 'Spanish - Latin America'];https://www.righteousweaselgames.com/;WAHR;FALSCH;FALSCH;0;0;0;0;0;Righteous Weasel Games,Ignatios Prouctions LLC;Sedoc LLC,GrabTheGames;Single-player,Full controller support
763550;A Journey Through Valhalla;12.09.2021;0 - 20000;0;5.99;0;['English'];https://valhalla-game.com;WAHR;FALSCH;FALSCH;3;3;20;0;0;Team Sämst;Team Sämst;Single-player,Multi-player,Co-op,Online Co-op,Steam Achievements
1445370;COUNTDOWN;10.01.2021;0 - 20000;0;0.99;0;['English'];;WAHR;FALSCH;FALSCH;6;1;0;0;0;Hello Friend LLC;Hello Friend LLC;Multi-player,PvP,Online PvP,LAN PvP,Co-op,Online Co-op,LAN Co-op
464230;Colours of Magic: Aqua Teeter;25.04.2016;20000 - 50000;0;0.99;0;['English', 'Russian', 'Portuguese', 'Portuguese - Brazil', 'Ukrainian'];https://www.facebook.com/coloursofmagicgame/;WAHR;WAHR;WAHR;69;17;17;340;340;RunServer;RunServer;Single-player,Steam Achievements,Full controller support,Steam Trading Cards
1293830;Forza Horizon 4;09.03.2021;2000000 - 5000000;0;59.99;15;['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Czech', 'Hungarian', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Traditional Chinese', 'Turkish'];http://www.forzamotorsport.net;WAHR;FALSCH;FALSCH;122539;15095;178;2518;1021;Playground Games;Xbox Game Studios;Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud
